Speeches,Character,Play
471,Falstaff,"Henry4p1, Henry4p2, Henry5, Wives"
409,Richard III (Duke of Gloucester),"Henry6p3, Richard3"
377,Henry V,"Henry4p1, Henry4p2, Henry5"
358,Hamlet,Hamlet
274,Othello,Othello
272,Iago,Othello
253,Antony,"Antony, Caesar"
210,Timon,Timon
204,Cleopatra,Antony
201,Rosalind,AYLI
194,Brutus,Caesar
194,Vincentio,Measure
189,Coriolanus,Coriolanus
188,Lear,Lear
183,Henry VI,"Henry6p1, Henry6p2, Henry6p3, Richard3"
182,Earl of Warwick,"Henry4p2, Henry5, Henry6p1, Henry6p2, Henry6p3"
169,Queen Margaret,"Henry6p1, Henry6p2, Henry6p3, Richard3"
166,Richard Plantagenet (Duke of Gloucester),"Henry6p1, Henry6p2, Henry6p3, Richard3"
165,Desdemona,Othello
163,Romeo,Romeo
162,Menenius Agrippa,Coriolanus
159,Biron,LLL
158,Petruchio,Shrew
158,Hostess Quickly,"Henry4p1, Henry4p2, Henry5, Wives"
154,Henry IV,"Henry4p1, Henry4p2, Richard2"
153,Pandarus,Troilus
152,Cressida,Troilus
152,Sir Toby Belch,12Night
149,Valentine,2Gents
147,Proteus,2Gents
146,Macbeth,Macbeth
144,King Edward IV (Plantagenet),"Henry6p2, Henry6p3, Richard3"
141,Parolles,AWW
140,Cassius,Caesar
136,Robert Shallow,"Henry4p2, Wives"
135,Don Pedro,Ado
134,Benedick,Ado
131,Troilus,Troilus
129,Isabella,Measure
129,Queen Elizabeth,"Henry6p3, Richard3"
127,Earl of Kent,Lear
125,Claudio,Ado
125,Leontes,WT
122,Pistol,"Henry4p2, Henry5, Wives"
122,Duke of Gloucester,"Henry5, Henry6p1, Henry6p2"
121,Viola,12Night
121,Pericles,Pericles
120,Leonato,Ado
120,Orlando,AYLI
118,Juliet,Romeo
118,Earl of Gloucester,Lear
118,Olivia,12Night
118,Imogen,Cymbeline
117,Sicinius Velutus,Coriolanus
117,Speed,2Gents
117,Titus Andronicus,Titus
117,Ferdinand,LLL
117,Portia,Merchant
117,Octavius,"Antony, Caesar"
115,Duke of Buckingham,"Henry6p2, Richard3"
114,Hotspur (Henry Percy),"Henry4p1, Richard2"
114,Prospero,Tempest
