Play,Type,Written,Code
A Midsummer Night's Dream,Comedy,1595,MND
All's Well That Ends Well,Comedy,1602,AWW
Antony and Cleopatra,Tragedy,1608,Antony
As You Like It,Comedy,1599,AYLI
Coriolanus,Tragedy,1608,Coriolanus
Cymbeline,Comedy,1609,Cymbeline
Hamlet,Tragedy,1600,Hamlet
Henry IV-1,History,1596,Henry4p1
Henry IV-2,History,1597,Henry4p2
Henry V,History,1599,Henry5
Henry VI-1,History,1592,Henry6p1
Henry VI-2,History,1591,Henry6p2
Henry VI-3,History,1592,Henry6p3
Henry VIII,History,1613,Henry8
Julius Caesar,Tragedy,1599,Caesar
King John,History,1595,John
King Lear,Tragedy,1605,Lear
Love's Labours Lost,Comedy,1594,LLL
Macbeth,Tragedy,1606,Macbeth
Measure for Measure,Comedy,1603,Measure
Much Ado About Nothing,Comedy,1598,Ado
Othello,Tragedy,1603,Othello
Pericles Prince of Tyre,Comedy,1607,Pericles
Richard II,History,1595,Richard2
Richard III,History,1593,Richard3
Romeo and Juliet,Tragedy,1594,Romeo
The Comedy of Errors,Comedy,1594,Errors
The Merchant of Venice,Comedy,1596,Merchant
The Merry Wives of Windsor,Comedy,1597,Wives
The Taming of the Shrew,Comedy,1594,Shrew
The Tempest,Comedy,1610,Tempest
Timon of Athens,Tragedy,1606,Timon
Titus Andronicus,Tragedy,1594,Titus
Troilus and Cressida,Comedy,1603,Troilus
Twelfth Night,Comedy,1601,12Night
Two Gentlemen of Verona,Comedy,1601,2Gents
Winter's Tale,Comedy,1609,WT
