Title ,Genre ,City ,Country_Modern,CountryNote
A Midsummer Night's Dream ,Comedy ,Athens ,Greece ,
All's Well That Ends Well ,Comedy ,Rossillion,France ,"also Paris, Marseilles, and Florence "
Antony and Cleopatra ,Tragedy ,Alexandria ,Egypt ,"spans three continents: also Rome, Messina, Syria, other places in the Roman Empire (including the sea) "
As You Like It ,Comedy ,Arden ,Fictional country,sometimes considered to be in France 
Coriolanus ,Tragedy ,Rome ,Italy ,"also Corioles, Antium "
Cymbeline ,Romance ,Britain ,United Kingdom ,"mythic pre-Christian Britain,  also Italy "
Hamlet ,Tragedy ,Elsinore Castle ,Denmark ,
Henry IV-1,History ,London ,United Kingdom ,also Wales 
Henry IV-2,History ,London ,United Kingdom ,other UK locations 
Henry V ,History ,London ,United Kingdom ,"other UK locations,  also France "
Henry VI-1,History ,London ,United Kingdom ,"also Orleans, France "
Henry VI-2,History ,London ,United Kingdom ,other UK locations 
Henry VI-3,History ,London ,United Kingdom ,also France 
Henry VIII ,History ,London ,United Kingdom ,other UK locations 
Julius Caesar ,Tragedy ,Rome ,Italy ,other Italian locations 
King John ,History ,London ,United Kingdom ,also France 
King Lear ,Tragedy ,Britain ,United Kingdom ,mythic pre-Christian Britain 
Love's Labor's Lost ,Comedy ,Navarre ,Spain ,
Macbeth ,Tragedy ,Inverness ,Scotland ,"other Scottish locations,  British locations "
Measure for Measure ,Comedy ,Vienna ,Austria ,
Much Ado About Nothing ,Comedy ,Messina ,Italy,
Othello ,Tragedy ,Venice ,Italy ,
Pericles ,Romance ,Tyre ,Lebanon ,"other Mediterannean locations including Antioch, Tharsus, Pentapolis, Mytilene, others "
Richard II ,History ,London ,United Kingdom ,also Wales 
Richard III ,History ,London ,United Kingdom ,
Romeo and Juliet ,Tragedy ,Verona ,Italy ,also Mantua 
The Comedy of Errors ,Comedy ,Ephesus ,Turkey ,
The Merchant of Venice ,Comedy ,Venice ,Italy,
The Merry Wives of Windsor ,Comedy ,Windsor ,United Kingdom ,
The Taming of the Shrew ,Comedy ,Padua ,Italy ,
The Tempest ,Romance ,Fictional island,Fictional country,
The Two Gentlemen of Verona ,Comedy ,Verona ,Italy ,also Milan 
The Two Noble Kinsmen ,Romance ,Athens ,Greece ,also Thebes 
The Winter's Tale ,Romance ,Sicilia ,Italy ,also Bohemia 
Timon of Athens ,Tragedy ,Athens ,Greece ,
Titus Andronicus ,Tragedy ,Rome ,Italy ,
Troilus and Cressida ,Comedy ,Troy ,Turkey ,
Twelfth Night ,Comedy ,Illyria ,Western Balkans,
