"","play","recognized","accuracy","type","numCharsFound","numCharsCorpus"
"1","All's Well That Ends Well","Parolles, Helena, Bertram, Lafeu, Clown, Second Lord, First Lord, Diana, First Soldier, Widow, Gentleman, First Gentleman, All, Page",0.583333333333333,"Comedy",14,24
"2","A Midsummer Night's Dream","Bottom, Lysander, Hermia, Theseus, Demetrius, Quince, Helena, Puck, Oberon, Titania, Flute, Hippolyta, Snout, Starveling, Egeus, Philostrate, Mustardseed, Peaseblossom, Fairy, Cobweb, Moth",0.91304347826087,"Comedy",21,23
"3","Antony and Cleopatra","Antony, Cleopatra, Octavius, Charmian, Messenger, Pompey, Menas, Lepidus, Agrippa, Eros, Dolabella, Iras, Mecaenas, Alexas, Soothsayer, Soldier, Octavia, Scarus, Thyreus, Second Soldier, Third Soldier, Proculeius, Canidius, All, Diomedes, Mardian, Ventidius, Silius, Attendant, Egyptian, Guard, Second Messenger, Taurus, Attendants",0.62962962962963,"Tragedy",34,54
"4","As You Like It","Rosalind, Orlando, Celia, Touchstone, Oliver, Duke, Corin, Silvius, Phebe, Frederick, Audrey, William, Adam, Amiens, Charles, Dennis, Lord, Hymen",0.692307692307692,"Comedy",18,26
"5","Coriolanus","Coriolanus, Sicinius Velutus, Junius Brutus, Cominius, Volumnia, Tullus Aufidius, Virgilia, Titus Lartius, Third Servingman, First Servingman, Second Servingman, Citizens, Valeria, Messenger, Second Senator, Aedile, Roman, First Soldier, Lieutenant, Patrician, Citizen, Officer",0.385964912280702,"Tragedy",22,57
"6","Cymbeline","Imogen, Cymbeline, Posthumus Leonatus, Iachimo, Cloten, Guiderius, Pisanio, Belarius, Arviragus, Queen, Caius Lucius, Second Lord, Philario, Cornelius, Lady, Sicilius Leonatus, Lord, Jupiter, All",0.5,"Comedy",19,38
"7","Hamlet","Hamlet, Horatio, Claudius, Polonius, Gertrude, Laertes, Ophelia, Rosencrantz, Marcellus, First Clown, Guildenstern, Osric, Bernardo, Second Clown, Francisco, First Player, Fortinbras, Player Queen, Player King, Lord, Servant",0.636363636363636,"Tragedy",21,33
"8","Henry IV-1","Falstaff, Henry IV, Prince John, Vernon, Glendower, Francis, Gadshill, Mortimer, Blunt, Chamberlain, Sir Michael, Servant, Carrier, Ostler",0.411764705882353,"History",14,34
"9","Henry IV-2","Falstaff, Henry V, Henry IV, Robert Shallow, Pistol, Bardolph, Lord Bardolph, Gower, Prince John, Silence, Francis, Lord Mowbray, Lord Hastings, Page, Davy, Peto, Fang, Servant, Morton, Ralph Mouldy, Peter Bullcalf, Lady Northumberland, Porter, Snare, Simon Shadow, Thomas Wart, Harcourt, First Groom, Rumour",0.557692307692308,"History",29,52
"10","Henry VI-1","Henry VI, Winchester, Charles, Vernon, Reignier, Messenger, John Talbot, Basset, Shepherd, Sir John Fastolfe, Sir Thomas Gargrave, Lawyer, Woodvile, Porter, Sir William Glansdale, Soldier, All, Servant, General",0.339285714285714,"History",19,56
"11","Henry VI-2","Henry VI, Queen Margaret, Jack Cade, Winchester, Eleanor, Simpcox, Lord Say, All, Captain, Alexander Iden, Peter, George Bevis, Walter Whitmore, Bolingbroke, Sir Humphrey Stafford, Thomas Horner, Spirit, Messenger, William Stafford, First Murderer, Servants, Master, Servant, Vaux, Margaret Jourdain, Herald, Soldier, Beadle",0.444444444444444,"History",28,63
"12","Henry VI-3","Henry VI, Queen Margaret, Queen Elizabeth, Lord Hastings, Lord Clifford, Prince Edward, Sir William Stanley, Post, Messenger, First Watchman, Second Watchman, Bona, Father, Huntsman",0.311111111111111,"History",14,45
"13","Henry VIII","Henry VIII, Cardinal Wolsey, Queen Katharine, Second Gentleman, First Gentleman, Gardiner, Sir Thomas Lovell, Cromwell, Anne Bullen, Lord Sands, Cardinal Campeius, Griffith, Porter, Surveyor, Lord Chancellor, Brandon, Capucius, Keeper, Lord Abergavenny, Doctor Butts, Crier, Gentleman, Scribe, All, Page",0.543478260869565,"History",25,46
"14","Henry V","Falstaff, Henry V, Pistol, Fluellen, Bardolph, Katharine, Nym, Gower, Williams, Alice, Boy, Montjoy, French Soldier, Bates, Chorus, Queen Isabel, Lord Scroop, Rambures, Sir Thomas Grey, Sir Thomas Erpingham, Jamy, Macmorris, All, Court, Herald",0.543478260869565,"History",25,46
"15","Julius Caesar","Antony, Brutus, Cassius, Octavius, Caesar, Casca, Lucius, Messala, Fourth Citizen, Portia, Decius Brutus, Cinna, Lucilius, Soothsayer, All, Clitus, Calpurnia, Pindarus, Ligarius, Metellus Cimber, Trebonius, Artemidorus, Cicero, Dardanius, Volumnius, Claudius, Popilius",0.551020408163265,"Tragedy",27,49
"16","King John","King John, King Phillip, Salisbury, Constance, Lewis, Arthur, Cardinal Pandulph, Queen Elinor, Pembroke, Blanch, Lord Bigot, Chatillon, Faulconbridge, Melun, James Gurney",0.555555555555556,"History",15,27
"17","King Lear","Lear, Edgar, Edmund, Regan, Fool, Goneril, Gentleman, Oswald, Cordelia, Old Man, Doctor, Herald, Messenger",0.52,"Tragedy",13,25
"18","Love's Labours Lost","Biron, Ferdinand, Costard, Boyet, Moth, Rosaline, Dumain, Holofernes, Longaville, Katharine, Maria, Sir Nathaniel, Dull, Jaquenetta, Forester",0.789473684210526,"Comedy",15,19
